"Geographic area","Time period","Sex","Adjusted net attendance rate, one year before the official primary entry age","Adjusted net attendance rate for children of primary school age","Adjusted net attendance rate for adolescents of lower secondary school age","Adjusted net attendance rate for youth of upper secondary school age","Completion rate for children of primary school age","Completion rate for adolescents of lower secondary school age","Completion rate for youth of upper secondary education school age","Out-of-school rate for children of primary school age","Out-of-school rate for adolescents of lower secondary school age","Out-of-school rate for youth of upper secondary school age","Out-of-school rate for youth of upper secondary school age (administrative data)","Youth literacy rate for 15-24 years","Proportion of students at the end of primary achieving at least a minimum proficiency level in mathematics","Proportion of students at the end of lower secondary achieving at least a minimum proficiency level in mathematics","Proportion of students at the end of lower secondary achieving at least a minimum proficiency level in reading","Out-of-school rate for children one year younger than official entry age (administrative data)","Out-of-school rate for children of primary school age (administrative data)","Out-of-school rate for adolescents of lower secondary school age (administrative data)","Proportion of students in Grade 2 or 3 achieving at least a minimum proficiency level in mathematics","Proportion of students in Grade 2 or 3 achieving at least a minimum proficiency level in reading","Proportion of students at the end of primary achieving at least a minimum proficiency level in reading"
"Cook Islands","2020","Female","-","-","-","-","-","-","-","-","-","-","21.5736","-","-","-","-","0","-","-","-","-","-"
"Cook Islands","2020","Male","-","-","-","-","-","-","-","-","-","-","34.25","-","-","-","-","14.10628","-","-","-","-","-"
"Cook Islands","2020","Total","-","-","-","-","-","-","-","-","-","-","27.9597","-","-","-","-","7.2685","-","-","-","-","-"
"Cook Islands","2017","Total","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","2.93487","-","-","-"
"Cook Islands","2016","Female","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","1.23457","-","-","-"
"Cook Islands","2016","Male","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","0.8726","-","-","-"
"Cook Islands","2016","Total","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","0.79725","-","-","-","-"
"Cook Islands","2014","Female","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","2.33593","-","-","-","-"
"Cook Islands","2014","Male","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","1.64474","-","-","-","-"
"Costa Rica","2020","Female","-","-","-","-","-","-","-","-","-","-","7.08991","-","-","-","-","1.46182","-","3.5715","-","-","-"
"Costa Rica","2020","Male","-","-","-","-","-","-","-","-","-","-","9.45661","-","-","-","-","1.53728","-","4.12071","-","-","-"
"Costa Rica","2020","Total","-","-","-","-","-","-","-","-","-","-","8.30011","-","-","-","-","1.50043","0.07377","3.8524","-","-","-"
"Costa Rica","2018","Female","95.763527","95.656517","79.374847","52.757801","98.637871","75.538803","60.406818","1.3398401","2.8940561","7.7773161","-","99.53","-","35.488","61.28353","-","-","-","-","-","-"
"Costa Rica","2018","Male","95.817528","95.638832","79.785591","39.4408","97.715027","70.457947","55.818001","1.349028","2.322978","10.94264","-","99.34","-","44.62523","54.70803","-","-","-","-","-","-"
"Costa Rica","2018","Total","95.788879","95.647469","79.595047","45.93264","98.153358","72.890152","57.958618","1.3445441","2.587903","9.3995876","-","99.43","-","40.00191","58.03514","-","-","-","-","-","-"
"Costa Rica","2017","Female","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","3.31332","-","-","-","-"
"Costa Rica","2017","Male","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","3.18637","-","-","-","-"
"Croatia","2019","Female","-","-","-","-","-","-","-","-","-","-","10.02749","-","-","-","-","4.66116","-","-","-","-","-"
"Croatia","2019","Male","-","-","-","-","-","-","-","-","-","-","14.4147","-","-","-","-","3.54884","-","-","-","-","-"
"Croatia","2019","Total","-","-","-","-","-","-","-","-","-","-","12.28074","-","70","-","-","4.08809","2.18771","1.10076","-","-","-"
"Croatia","2018","Female","-","-","-","-","-","-","-","-","-","-","-","-","-","68.12548","84.97514","-","-","-","-","-","-"
"Croatia","2018","Male","-","-","-","-","-","-","-","-","-","-","-","-","-","69.56254","71.77993","-","-","-","-","-","-"
"Croatia","2018","Total","-","-","-","-","-","-","-","-","-","-","-","-","-","68.83926","78.42116","-","-","-","-","-","-"
"Croatia","2015","Female","-","-","-","-","-","-","-","-","-","-","-","-","64.66322","-","-","-","-","-","-","-","-"
"Croatia","2015","Male","-","-","-","-","-","-","-","-","-","-","-","-","70.12963","-","-","-","-","-","-","-","-"
"Cuba","2020","Female","-","-","-","-","-","-","-","-","-","-","12.41908","-","-","-","-","2.88278","-","12.15064","-","-","-"
"Cuba","2020","Male","-","-","-","-","-","-","-","-","-","-","16.47668","-","-","-","-","5.97807","-","12.69275","-","-","-"
"Cuba","2020","Total","-","-","-","-","-","-","-","-","-","-","14.50617","-","-","-","-","4.47259","0.19751","12.42943","-","-","-"
"Cuba","2019","Female","98.497864","98.858391","95.723412","77.833992","99.840607","95.093628","63.468102","1.049547","1.593021","17.59066","-","-","-","-","-","-","0.93172","-","-","-","-"
"Cuba","2019","Male","93.197456","98.81517","93.722","69.460213","99.5","93.281937","54.493649","0.90610951","2.7560761","24.285061","-","-","-","-","-","-","0.63967","-","-","-","-"
"Cuba","2019","Total","95.554268","98.836533","94.620277","73.453003","99.658493","94.091927","58.634781","0.97699523","2.2340729","21.093031","-","-","99.8","99.5","99.6","-","-","-","97.3","97.2","99.8"
"Cyprus","2019","Female","-","-","-","-","-","-","-","-","-","-","8.73466","-","-","-","-","3.24405","-","-","-","-","-"
"Cyprus","2019","Male","-","-","-","-","-","-","-","-","-","-","6.11304","-","-","-","-","0","-","-","-","-","-"
"Cyprus","2019","Total","-","-","-","-","-","-","-","-","-","-","7.41599","-","77","63","-","1.61615","0.50737","0.64127","-","-","-"
"Cyprus","2018","Female","-","-","-","-","-","-","-","-","-","-","-","-","-","-","67.25756","-","0.8185","-","-","-","-"
"Cyprus","2018","Male","-","-","-","-","-","-","-","-","-","-","-","-","-","-","45.73983","-","0.34225","-","-","-","-"
"Cyprus","2018","Total","-","-","-","-","-","-","-","-","-","-","-","-","-","-","56.2921","-","-","-","-","-","-"
"Cyprus","2016","Female","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","2.24891","-","-","-"
"Cyprus","2016","Male","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","2.37436","-","-","-"
"Cyprus","2015","Female","-","-","-","-","-","-","-","-","-","-","-","-","73.29376","-","-","-","-","-","-","-","-"
"Cyprus","2015","Male","-","-","-","-","-","-","-","-","-","-","-","-","74.20765","-","-","-","-","-","-","-","-"
"Czechia","2019","Female","-","-","-","-","-","-","-","-","-","-","4.37116","-","-","-","-","7.51218","0.49345","0.47337","-","-","-"
"Czechia","2019","Male","-","-","-","-","-","-","-","-","-","-","4.20299","-","-","-","-","7.29232","1.21121","0.36949","-","-","-"
"Czechia","2019","Total","-","-","-","-","-","-","-","-","-","-","4.28495","-","78","-","-","7.39923","0.86192","0.42009","-","-","-"
"Czechia","2018","Female","-","-","-","-","-","-","-","-","-","-","-","-","-","80.04899","85.04798","-","-","-","-","-","-"
"Czechia","2018","Male","-","-","-","-","-","-","-","-","-","-","-","-","-","79.1995","73.71976","-","-","-","-","-","-"
"Czechia","2018","Total","-","-","-","-","-","-","-","-","-","-","-","-","-","79.61492","79.25952","-","-","-","-","-","-"
"Czechia","2016","Female","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","97.97584"
"Czechia","2016","Male","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","96.13597"
"Czechia","2016","Total","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","97.03947"
"Czechia","2015","Female","-","-","-","-","-","-","-","-","-","-","-","-","77.39211","-","-","-","-","-","-","-","-"
"Czechia","2015","Male","-","-","-","-","-","-","-","-","-","-","-","-","79.41916","-","-","-","-","-","-","-","-"
"Côte d'Ivoire","2020","Female","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","72.45358","7.01395","-","-","-","-"
"Côte d'Ivoire","2020","Male","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","78.16649","0.28267","-","-","-","-"
"Côte d'Ivoire","2020","Total","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","75.32497","-","-","-","-","-"
"Côte d'Ivoire","2019","Female","-","-","-","-","-","-","-","-","-","-","-","76.41314","-","-","-","-","-","-","-","-","-"
"Côte d'Ivoire","2019","Male","-","-","-","-","-","-","-","-","-","-","-","92.82019","-","-","-","-","-","-","-","-","-"
"Côte d'Ivoire","2019","Total","-","-","-","-","-","-","-","-","-","-","-","83.62647","2.6","-","-","-","-","-","68","33.1","22"
"Côte d'Ivoire","2017","Female","-","-","-","-","-","-","14.6","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Côte d'Ivoire","2017","Male","-","-","-","-","-","-","17.200001","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Côte d'Ivoire","2017","Total","-","-","-","-","-","-","15.8","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Côte d'Ivoire","2016","Female","47.56488","74.099998","37.553391","13.53492","53.099998","22","-","25.700001","38.119308","66.147743","-","-","-","-","-","-","-","-","-","-","-"
"Côte d'Ivoire","2016","Male","48.490471","79.400002","42.827068","20.240379","59.700001","36","-","20.5","27.22687","45.904381","-","-","-","-","-","-","-","-","-","-","-"
"Côte d'Ivoire","2016","Total","48.02005","76.800003","40.25758","16.80126","56.400002","28.299999","-","23","32.53397","56.28688","-","-","-","-","-","-","-","-","-","-","-"
"Côte d'Ivoire","2014","Female","-","-","-","-","-","-","-","-","-","-","-","-","2.05","-","-","-","-","-","28.13","15.08","24.47"
"Côte d'Ivoire","2014","Male","-","-","-","-","-","-","-","-","-","-","-","-","2.87","-","-","-","-","-","38.38","17.87","20.82"
"Democratic People's Republic of Korea","2017","Female","96.300003","96.599998","94.400002","94.900002","100","99.900002","100","3.4000001","0.30000001","0.5","-","-","-","-","-","-","-","-","85.2","94.4","-"
"Democratic People's Republic of Korea","2017","Male","97.900002","96.699997","97.800003","94.699997","100","99.800003","99.699997","3.3","0","0.69999999","-","-","-","-","-","-","-","-","81.8","92.7","-"
"Democratic People's Republic of Korea","2017","Total","97.099998","96.699997","96.099998","94.800003","100","99.800003","99.900002","3.3","0.2","0.60000002","-","-","-","-","-","-","-","-","83.4","93.5","-"
"Democratic Republic of the Congo","2019","Total","-","-","-","-","-","-","-","-","-","-","-","-","3.2","-","-","-","-","-","76.8","41.6","9.2"
"Democratic Republic of the Congo","2018","Female","42.914131","77.5737","31.482031","32.855042","66.262306","51.716011","26.74103","22.34152","17.706129","33.280991","-","-","-","-","-","-","-","-","0","2.6","-"
"Democratic Republic of the Congo","2018","Male","43.02837","78.982681","32.45105","35.86422","67.099716","57.553799","36.384041","20.93211","15.76399","23.85088","-","-","-","-","-","-","-","-","0.3","3.9","-"
"Democratic Republic of the Congo","2018","Total","42.96962","78.300873","31.965599","34.294739","66.674828","54.386219","31.136499","21.61414","16.73694","28.769291","-","-","-","-","-","-","-","-","-","-","-"
"Denmark","2019","Female","-","-","-","-","-","-","-","-","-","-","8.77994","-","-","-","-","2.8982","0.42964","-","-","-","-"
"Denmark","2019","Male","-","-","-","-","-","-","-","-","-","-","9.76807","-","-","-","-","3.98429","0.92461","-","-","-","-"
"Denmark","2019","Total","-","-","-","-","-","-","-","-","-","-","9.28519","-","-","-","-","3.45581","0.68426","0.14474","75","-","-"
"Denmark","2018","Female","-","-","-","-","-","-","-","-","-","-","-","-","-","85.738","88.91687","-","-","-","-","-","-"
"Denmark","2018","Male","-","-","-","-","-","-","-","-","-","-","-","-","-","85.12017","79.09293","-","-","-","-","-","-"
"Denmark","2018","Total","-","-","-","-","-","-","-","-","-","-","-","-","-","85.42881","84.00047","-","-","-","-","-","-"
"Denmark","2017","Female","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","0.84769","-","-","-"
"Denmark","2017","Male","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","0.25602","-","-","-"
"Denmark","2016","Female","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","97.58585","-"
"Denmark","2016","Male","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","97.20507","-"
"Denmark","2016","Total","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","97.37895","-"
"Denmark","2015","Female","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","79.15421","-","-"
"Denmark","2015","Male","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","81.44908","-","-"
"Djibouti","2012","Female","-","67.900002","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Djibouti","2012","Male","-","70.800003","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Djibouti","2012","Total","-","69.5","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Dominica","2020","Female","-","-","-","-","-","-","-","-","-","-","27.04136","-","-","-","-","0","0.77415","-","-","-","-"
"Dominica","2020","Male","-","-","-","-","-","-","-","-","-","-","13.89173","-","-","-","-","7.47253","1.00813","-","-","-","-"
"Dominica","2020","Total","-","-","-","-","-","-","-","-","-","-","20.34339","-","-","-","-","3.80594","0.89315","2.77674","-","-","-"
"Dominica","2015","Female","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","1.03093","-","-","-"
"Dominica","2015","Male","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","2.94811","-","-","-"
"Dominican Republic","2020","Female","-","-","-","-","-","-","-","-","-","-","24.7814","-","-","-","-","1.22583","3.5809","8.26328","-","-","-"
"Dominican Republic","2020","Male","-","-","-","-","-","-","-","-","-","-","27.81702","-","-","-","-","1.61479","4.61963","9.51924","-","-","-"
"Dominican Republic","2020","Total","-","-","-","-","-","-","-","-","-","-","26.31566","-","-","-","-","1.42397","4.10988","8.90031","-","-","-"
"Dominican Republic","2019","Female","92.959358","96.660683","85.765442","73.570961","93.310112","83.459267","71.418953","2.935652","2.3194821","15.72889","-","-","-","-","-","-","-","-","-","-","-"
"Dominican Republic","2019","Male","91.986977","96.318604","73.707832","58.523479","88.013199","70.344963","50.961128","3.0411761","4.3871341","17.113581","-","-","-","-","-","-","-","-","-","-","-"
"Dominican Republic","2019","Total","92.4842","96.488403","79.689911","65.791359","90.565987","76.727829","60.69688","2.9887929","3.3613219","16.44478","-","-","-","-","-","-","-","-","-","-","-"
"Dominican Republic","2018","Female","-","-","-","-","-","-","-","-","-","-","-","-","-","9.14794","25.70255","-","-","-","-","-","-"
"Dominican Republic","2018","Male","-","-","-","-","-","-","-","-","-","-","-","-","-","9.73815","16.14793","-","-","-","-","-","-"
"Dominican Republic","2018","Total","-","-","-","-","-","-","-","-","-","-","-","-","-","9.44209","20.94059","-","-","-","-","-","-"
"East Asia and Pacific","2020","Female","-","-","-","-","-","-","-","-","-","-","14.51666","98.75458","-","-","-","-","3.66056","8.30796","-","-","-"
"East Asia and Pacific","2020","Male","-","-","-","-","-","-","-","-","-","-","22.63152","98.69963","-","-","-","-","2.82741","10.01637","-","-","-"
"East Asia and Pacific","2020","Total","-","-","-","-","-","-","-","-","-","-","18.78739","98.72578","-","-","-","-","3.2218","9.2076","-","-","-"
"East Asia and Pacific","2019","Female","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","14.89116","-","-","-","-","-"
"East Asia and Pacific","2019","Male","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","17.17073","-","-","-","-","-"
"East Asia and Pacific","2019","Total","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","16.08802","-","-","-","-","-"
"Eastern Europe and Central Asia","2020","Female","-","-","-","-","-","-","-","-","-","-","13.67829","99.7701","-","-","-","20.74398","3.57304","2.43633","-","-","-"
"Eastern Europe and Central Asia","2020","Male","-","-","-","-","-","-","-","-","-","-","13.21232","99.76231","-","-","-","19.67438","3.74566","1.96089","-","-","-"
"Eastern Europe and Central Asia","2020","Total","-","-","-","-","-","-","-","-","-","-","13.43924","99.76596","-","-","-","20.19434","3.66174","2.19233","-","-","-"
"Eastern and Southern Africa","2020","Female","-","-","-","-","-","-","-","-","-","-","-","80.00847","-","-","-","48.93967","17.60585","36.77965","-","-","-"
"Eastern and Southern Africa","2020","Male","-","-","-","-","-","-","-","-","-","-","-","80.32462","-","-","-","48.98519","15.52612","33.94366","-","-","-"
"Eastern and Southern Africa","2020","Total","-","-","-","-","-","-","-","-","-","-","-","80.16644","-","-","-","48.96266","16.55695","35.35259","-","-","-"
"Eastern and Southern Africa","2019","Female","-","-","-","-","-","-","-","-","-","-","59.74457","-","-","-","-","-","-","-","-","-","-"
"Eastern and Southern Africa","2019","Male","-","-","-","-","-","-","-","-","-","-","55.52413","-","-","-","-","-","-","-","-","-","-"
"Eastern and Southern Africa","2019","Total","-","-","-","-","-","-","-","-","-","-","57.62531","-","-","-","-","-","-","-","-","-","-"
"Ecuador","2020","Female","-","-","-","-","-","-","-","-","-","-","20.36597","99.09054","-","-","-","14.83777","-","-","-","-","-"
"Ecuador","2020","Male","-","-","-","-","-","-","-","-","-","-","22.25224","98.49576","-","-","-","17.67675","-","-","-","-","-"
"Ecuador","2020","Total","-","-","-","-","-","-","-","-","-","-","21.32748","98.76704","-","-","-","16.28849","1.37986","1.53262","-","-","-"
"Ecuador","2019","Female","85.300003","95.699997","85.900002","72.599998","98.400002","91.599998","79.400002","1.5","5.4000001","15.1","-","-","-","-","-","-","-","2.06661","-","-","-"
"Ecuador","2019","Male","79.900002","95.199997","81","69.5","98","88.900002","77.699997","1","6.5999999","14.5","-","-","-","-","-","-","-","5.26648","-","-","-"
"Ecuador","2019","Total","82.699997","95.400002","83.400002","70.900002","98.199997","90.199997","78.5","1.3","6","14.8","-","-","-","-","-","-","-","-","-","-","-"
"Ecuador","2015","Female","-","-","-","-","-","-","-","-","-","-","-","-","-","23.98329","51.7925","-","-","-","-","-","-"
"Ecuador","2015","Male","-","-","-","-","-","-","-","-","-","-","-","-","-","34.00321","47.11627","-","-","-","-","-","-"
"Ecuador","2015","Total","-","-","-","-","-","-","-","-","-","-","-","-","-","29.0676","49.41969","-","-","-","-","-","-"
"Egypt","2019","Female","-","-","-","-","-","-","-","-","-","-","24.1314","-","-","-","-","63.21682","-","1.60303","-","-","-"
"Egypt","2019","Male","-","-","-","-","-","-","-","-","-","-","22.73528","-","-","-","-","63.33938","-","3.12572","-","-","-"
"Egypt","2019","Total","-","-","-","-","-","-","-","-","-","-","23.41334","-","27","-","-","63.27999","0.72737","2.38687","-","-","-"
"Egypt","2015","Female","-","-","-","-","-","-","-","-","-","-","-","-","-","22.66674","-","-","-","-","-","-","-"
"Egypt","2015","Male","-","-","-","-","-","-","-","-","-","-","-","-","-","19.80306","-","-","-","-","-","-","-"
"Egypt","2015","Total","-","-","-","-","-","-","-","-","-","-","-","-","-","21.31782","-","-","-","-","-","-","-"
"Egypt","2014","Female","59.200661","96.58416","85.5","68.099998","91.557068","81.268738","40.901009","3.3","10.32044","26.98477","-","-","-","-","-","-","-","-","-","-","-"
"Egypt","2014","Male","58.9086","97.005463","84.300003","70.900002","90.530273","79.407623","43.02034","2.9000001","9.5404263","20.8137","-","-","-","-","-","-","-","-","-","-","-"
"Egypt","2014","Total","59.046619","96.802277","84.900002","69.5","91.040314","80.363083","41.8937","3.0999999","9.9147444","23.90427","-","-","-","-","-","-","-","-","-","-","-"
"El Salvador","2020","Female","-","-","-","-","-","-","-","-","-","-","-","98.72357","-","-","-","-","-","-","-","-","-"
"El Salvador","2020","Male","-","-","-","-","-","-","-","-","-","-","-","98.31355","-","-","-","-","-","-","-","-","-"
"El Salvador","2020","Total","-","-","-","-","-","-","-","-","-","-","-","98.52016","-","-","-","-","-","-","-","-","-"
"El Salvador","2014","Female","92.548187","96.199997","73.199997","56.299999","88.599998","73.900002","36.299999","3.2","15.2","35","-","-","-","-","-","12.45968","6.6392","-","-","-","-"
"El Salvador","2014","Male","93.181007","95.400002","68.800003","42.599998","84.300003","72.699997","33.5","3.8","14.3","34.700001","-","-","-","-","-","14.82838","7.03497","-","-","-","-"
"El Salvador","2014","Total","92.888588","95.800003","71","43.799999","86.400002","73.300003","35","3.5","14.8","34.900002","-","-","-","-","-","13.67029","6.84121","-","-","-","-"
"Equatorial Guinea","2015","Female","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","55.0897","54.81445","-","-","-","-"
"Equatorial Guinea","2015","Male","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","56.92183","55.7771","-","-","-","-"
"Equatorial Guinea","2015","Total","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","56.01892","55.30304","-","-","-","-"
"Eritrea","2018","Female","-","-","-","-","-","-","-","-","-","-","52.58804","92.71403","-","-","-","73.46575","49.80647","40.28999","-","-","-"
"Eritrea","2018","Male","-","-","-","-","-","-","-","-","-","-","44.9303","93.81868","-","-","-","73.08127","44.99245","32.03627","-","-","-"
"Eritrea","2018","Total","-","-","-","-","-","-","-","-","-","-","48.69667","93.27239","-","-","-","73.2692","47.34818","36.08021","-","-","-"
"Eritrea","2010","Female","78.860001","78.860001","54.799999","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Eritrea","2010","Male","82.940002","82.940002","63.200001","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Eritrea","2010","Total","81","81","59.099998","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Estonia","2019","Female","-","-","-","-","-","-","-","-","-","-","2.20429","-","-","-","-","-","2.10882","1.04433","-","-","-"
"Estonia","2019","Male","-","-","-","-","-","-","-","-","-","-","1.78811","-","-","-","-","-","2.85387","1.62309","-","-","-"
"Estonia","2019","Total","-","-","-","-","-","-","-","-","-","-","1.99149","-","-","-","-","-","2.49251","1.34192","-","-","-"
"Estonia","2018","Female","-","-","-","-","-","-","-","-","-","-","-","-","-","89.69022","92.3565","-","-","-","-","-","-"
"Estonia","2018","Male","-","-","-","-","-","-","-","-","-","-","-","-","-","89.87686","85.53826","-","-","-","-","-","-"
"Estonia","2018","Total","-","-","-","-","-","-","-","-","-","-","-","-","-","89.78358","88.94572","-","-","-","-","-","-"
"Estonia","2017","Female","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","6.72236","-","-","-","-","-"
"Estonia","2017","Male","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","6.9296","-","-","-","-","-"
"Estonia","2017","Total","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","6.82911","-","-","-","-","-"
"Eswatini","2019","Female","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","15.9","-","-","-","-"
"Eswatini","2019","Male","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","14.56613","-","-","-","-"
"Eswatini","2019","Total","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","15.22935","-","-","-","-"
"Eswatini","2018","Female","-","-","-","-","-","-","-","-","-","-","-","96.69525","-","-","-","-","-","-","-","-","-"
"Eswatini","2018","Male","-","-","-","-","-","-","-","-","-","-","-","94.29769","-","-","-","-","-","-","-","-","-"
"Eswatini","2018","Total","-","-","-","-","-","-","-","-","-","-","-","95.46937","-","-","-","-","-","-","-","-","-"
"Eswatini","2015","Female","-","-","-","-","-","-","-","-","-","-","18.07501","-","-","-","-","-","-","2.94646","-","-","-"
"Eswatini","2015","Male","-","-","-","-","-","-","-","-","-","-","14.33211","-","-","-","-","-","-","2.57896","-","-","-"
"Eswatini","2015","Total","-","-","-","-","-","-","-","-","-","-","16.18668","-","-","-","-","-","-","2.76242","-","-","-"
"Eswatini","2014","Female","-","98","-","-","76.899361","54.148529","33.314919","1.2","4.1999998","23.799999","-","-","-","-","-","-","-","-","-","-","-"
"Eswatini","2014","Male","-","97.300003","-","-","64.168999","47.111519","31.15066","1.6","4.6999998","11.6","-","-","-","-","-","-","-","-","-","-","-"
"Eswatini","2014","Total","-","97.699997","-","-","70.351669","50.470829","32.277821","1.4","4.4000001","17.5","-","-","-","-","-","-","-","-","-","-","-"
"Ethiopia","2020","Female","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","58.65965","16.84797","-","-","-","-"
"Ethiopia","2020","Male","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","55.4209","8.82833","-","-","-","-"
"Ethiopia","2020","Total","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","57.01888","12.79203","-","-","-","-"
"Ethiopia","2016","Female","50.610611","68.084137","29.32229","9.0251455","47.801689","22.33713","13.56329","24.5","31.299999","59.444908","-","-","-","-","-","-","-","-","-","-","-"
"Ethiopia","2016","Male","52.39386","68.275871","25.19812","6.6898718","47.053791","19.41054","10.55048","25.799999","30.200001","47.962921","-","-","-","-","-","-","-","-","-","-","-"
"Ethiopia","2016","Total","51.490551","68.184059","27.211821","7.9242129","47.4454","21.065941","12.27563","25.200001","30.75","54.148369","-","-","73.36","18.4","28.9","-","-","-","-","-","55.48"
"Ethiopia","2015","Female","-","-","-","-","-","-","-","-","-","-","75.24028","-","-","-","-","-","-","49.19427","-","-","-"
"Ethiopia","2015","Male","-","-","-","-","-","-","-","-","-","-","72.80989","-","-","-","-","-","-","44.94866","-","-","-"
"Ethiopia","2015","Total","-","-","-","-","-","-","-","-","-","-","74.01042","-","-","-","-","-","-","47.04813","-","-","-"
"Europe and Central Asia","2020","Female","-","-","-","-","-","-","-","-","-","-","9.23997","99.68696","-","-","-","13.07261","2.27586","2.11984","-","-","-"
"Europe and Central Asia","2020","Male","-","-","-","-","-","-","-","-","-","-","9.18616","99.70644","-","-","-","12.51058","2.47461","2.01131","-","-","-"
"Europe and Central Asia","2020","Total","-","-","-","-","-","-","-","-","-","-","9.21234","99.69631","-","-","-","12.78406","2.37793","2.0641","-","-","-"
"Fiji","2020","Female","-","-","-","-","-","-","-","-","-","-","9.23726","-","-","-","-","15.34471","-","-","-","-","-"
"Fiji","2020","Male","-","-","-","-","-","-","-","-","-","-","24.27176","-","-","-","-","10.73192","-","-","-","-","-"
"Fiji","2020","Total","-","-","-","-","-","-","-","-","-","-","16.97782","-","-","-","-","12.98139","1.17826","-","-","-","-"
"Fiji","2015","Female","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","1.2056","-","-","-","-"
"Fiji","2015","Male","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","0.57764","-","-","-","-"
"Fiji","2014","Total","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","0.68216","-","-","-"
"Finland","2019","Female","-","-","-","-","-","-","-","-","-","-","4.91382","-","-","-","-","2.25263","1.55299","-","-","-","-"
"Finland","2019","Male","-","-","-","-","-","-","-","-","-","-","2.77248","-","-","-","-","0.12337","2.18141","-","-","-","-"
"Finland","2019","Total","-","-","-","-","-","-","-","-","-","-","3.81659","-","78","-","-","1.16343","1.87418","0.14656","-","-","-"
"Finland","2018","Female","-","-","-","-","-","-","-","-","-","-","-","-","-","86.94626","92.74826","-","-","-","-","-","-"
"Finland","2018","Male","-","-","-","-","-","-","-","-","-","-","-","-","-","83.17412","80.39666","-","-","-","-","-","-"
"Finland","2018","Total","-","-","-","-","-","-","-","-","-","-","-","-","-","85.02446","86.45547","-","-","-","-","-","-"
"Finland","2017","Female","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","0.30476","-","-","-"
"Finland","2017","Male","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","0.63698","-","-","-"
"Finland","2016","Female","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","98.92597"
"Finland","2016","Male","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","97.65054"
